,campaign_id,ad_id,impressions,clicks,spent,date,reach,link_external_clicks,join_rate
42,1028988655,161511884,2793,6,"249,70",2023-08-29,2396,4,0
43,1028988655,161511884,2823,2,"250,00",2023-08-30,2275,0,0
44,1028988655,161511884,1011,3,"83,69",2023-08-31,964,1,0
45,1028988655,161511884,2975,3,"250,00",2023-09-01,2391,2,0
46,1028988655,161511884,2851,8,"250,00",2023-09-02,2145,3,0
47,1028988655,161511884,2907,6,"249,89",2023-09-03,2324,2,0
48,1028988655,161511884,3100,7,"250,00",2023-09-04,2482,4,0
49,1028988655,161511884,2979,4,"249,88",2023-09-05,2347,2,0
50,1028988655,161511884,2497,7,"212,31",2023-09-06,2168,3,0
51,1028988655,161511793,2569,7,"247,83",2023-08-28,2205,6,0
52,1028988655,161511793,2671,4,"250,00",2023-08-29,2157,2,0
53,1028988655,161511793,2756,7,"250,00",2023-08-30,2103,5,0
54,1028988655,161511793,1016,1,"85,17",2023-08-31,941,1,0
55,1028988655,161511793,2884,6,"250,00",2023-09-01,2174,4,0
56,1028988655,161511793,2786,4,"250,00",2023-09-02,2021,2,0
57,1028988655,161511793,2838,7,"249,94",2023-09-03,2140,4,0
58,1028988655,161511793,3054,5,"249,83",2023-09-04,2295,2,0
59,1028988655,161511793,3081,7,"250,00",2023-09-05,2321,4,0
60,1028988655,161511793,2470,1,"209,02",2023-09-06,1999,1,0
61,1028988655,161511464,2591,6,"248,23",2023-08-28,1955,1,0
62,1028988655,161511464,2872,3,"250,00",2023-08-29,1824,0,0
63,1028988655,161511464,2817,7,"250,00",2023-08-30,1809,3,0
64,1028988655,161511464,1078,1,"84,77",2023-08-31,985,0,0
65,1028988655,161511464,2675,2,"250,00",2023-09-01,2592,1,0
66,1028988655,161511464,3043,7,"250,00",2023-09-02,2406,6,0
67,1028988655,161511464,3080,4,"250,00",2023-09-03,2549,2,0
68,1028988655,161511464,3137,8,"250,00",2023-09-04,2563,6,0
69,1028988655,161511464,3163,6,"250,00",2023-09-05,2840,2,0
70,1028988655,161511464,2797,1,"241,96",2023-09-06,2585,0,0
71,1028917277,160679052,2693,8,"247,60",2023-08-17,2005,6,0
72,1028917277,160679052,2797,5,"250,00",2023-08-18,1575,3,0
73,1028917277,160679052,2632,4,"248,83",2023-08-19,1398,3,0
74,1028917277,160679052,2759,7,"250,00",2023-08-20,1486,3,0
75,1028917277,160679052,2810,2,"249,94",2023-08-21,1582,2,0
76,1028917277,160679052,5338,10,"498,05",2023-08-22,2726,8,0
77,1028917277,160679052,5162,14,"500,00",2023-08-23,2916,8,0
78,1028917277,160679052,1806,3,"175,57",2023-08-24,1381,1,0
79,1028917277,160678948,2634,10,"249,13",2023-08-17,2113,7,0
80,1028917277,160678948,2817,9,"249,82",2023-08-18,1775,5,0
81,1028917277,160678948,2733,5,"249,28",2023-08-19,1718,5,0
82,1028917277,160678948,2922,3,"250,00",2023-08-20,1707,3,0
83,1028917277,160678948,2942,7,"250,00",2023-08-21,1772,6,0
84,1028917277,160678948,5588,15,"500,00",2023-08-22,3134,12,0
85,1028917277,160678948,5592,14,"499,76",2023-08-23,3630,7,0
86,1028917277,160678948,1950,3,"172,44",2023-08-24,1558,1,0
87,1028697612,158913975,5836,10,"500,00",2023-08-03,2738,6,0
88,1028697612,158913975,2456,6,"213,48",2023-08-04,1878,4,0
89,1028431057,158913422,4342,9,"499,86",2023-08-03,2819,4,0
90,1028431057,158913422,1800,7,"230,75",2023-08-04,1536,2,0
91,1028545993,158832506,5070,8,"500,00",2023-08-03,3747,5,0
92,1028545993,158832506,2097,6,"233,34",2023-08-04,1753,4,0
93,1028520094,158831790,4691,19,"500,00",2023-08-03,3518,12,2
94,1028520094,158831790,2055,6,"234,59",2023-08-04,1800,5,0
95,1028520128,158831656,5169,9,"497,11",2023-08-03,4610,4,1
96,1028520128,158831656,2920,5,"298,90",2023-08-04,2744,1,0
97,1028510627,158831538,4720,11,"499,18",2023-08-03,4251,5,0
98,1028510627,158831538,2435,5,"289,09",2023-08-04,2346,2,0
99,1028456620,158831416,5010,1,"495,13",2023-08-03,4269,1,0
100,1028456620,158831416,2645,5,"280,03",2023-08-04,2423,4,0
101,1028431057,158830887,4489,8,"500,00",2023-08-03,3028,5,0
102,1028431057,158830887,1959,8,"237,53",2023-08-04,1705,4,0
103,1028469491,158830775,5201,6,"499,06",2023-08-03,4638,1,0
104,1028469491,158830775,2688,1,"275,26",2023-08-04,2551,1,0
105,1028545761,158830517,4757,7,"500,00",2023-08-03,4322,2,0
106,1028545761,158830517,2424,1,"262,49",2023-08-04,2323,0,0
